Ranking,Nombre,Símbolo,Precio (USD)
,CoinMarketCap 20 Index DTF,CMC20,177.29
1,Bitcoin,BTC,84338.9
2,Ethereum,ETH,2809.42
3,Tether,USDT,0.9987
4,BNB,BNB,858.45
5,XRP,XRP,1.8
6,USDC,USDC,0.9998
7,Solana,SOL,117.63
8,TRON,TRX,0.2908
9,Dogecoin,DOGE,0.1156
10,Cardano,ADA,0.3314
11,Bitcoin Cash,BCH,554.92
12,Hyperliquid,HYPE,33.13
13,UNUS SED LEO,LEO,9.18
14,Monero,XMR,438.87
101,Aerodrome Finance,AERO,0.432
102,Maple Finance,SYRUP,0.3381
103,JUST,JST,0.04408
104,BitTorrent [New],BTT,0.063923
105,FLOKI,FLOKI,3.896e-05
106,Axie Infinity,AXS,2.18
107,Trust Wallet Token,TWT,0.8448
108,Kaia,KAIA,0.05795
109,Celestia,TIA,0.4117
110,The Graph,GRT,0.03355
111,Gnosis,GNO,134.45
112,Humanity Protocol,H,0.1454
113,Pyth Network,PYTH,0.06087
114,Sun [New],SUN,0.01805
115,Bitcoin SV,BSV,17.22
201,Rain,RAIN,0.009471
202,Falcon USD,USDf,0.9937
203,Jupiter Perps LP,JLP,4.41
204,Ondo US Dollar Yield,USDY,1.11
205,Beldex,BDX,0.07916
206,Usual USD,USD0,0.9972
207,GHO,GHO,0.9989
208,c8ntinuum,CTM,0.1158
209,USDai,USDAI,0.9996
210,Fasttoken,FTN,1.08
211,Legacy Frax Dollar,FRAX,0.992
212,Ape and Pepe,APEPE,0.051087
213,Undeads Games,UDS,2.28
214,WeFi,WFI,2.8
215,Zeebu,ZBU,0.523
301,ORDI,ORDI,3.7
302,Frax (prev. FXS),FRAX,0.8355
303,Bio Protocol,BIO,0.03935
304,lisUSD,lisUSD,0.9966
305,VVS Finance,VVS,0.051764
306,Merlin Chain,MERL,0.06831
307,Qubic,QUBIC,0.065725
308,Pirate Chain,ARRR,0.3906
309,Comedian,BAN,0.07634
310,Kava,KAVA,0.07009
311,USDH,USDH,0.9995
312,Moonbirds,BIRB,0.2601
313,Waves,WAVES,0.6068
314,GMX,GMX,6.98
315,XYO,XYO,0.005308
401,KGeN,KGEN,0.2643
402,Terra,LUNA,0.07351
403,Ontology,ONT,0.05585
404,Law Blocks (AI),LBT,0.2128
405,MobileCoin,MOB,0.26
406,Babylon,BABY,0.01805
407,Spark,SPK,0.02177
408,Pundi X (New),PUNDIX,0.1955
409,ChangeNOW Token,NOW,0.5917
410,Eurite,EURI,1.19
411,Storj,STORJ,0.1168
412,Sologenic,SOLO,0.1239
413,StorX Network,SRX,0.06785
414,Tellor,TRB,17.9
415,AI Rig Complex,ARC,0.04909
501,Bounce Token,AUCTION,5.74
502,MEET48,IDOL,0.03593
503,Shentu,CTK,0.2401
504,Kyber Network Crystal v2,KNC,0.1947
505,Blast,BLAST,0.0006755
506,Alphabet tokenized stock (xStock),GOOGLX,330.37
507,Lisk,LSK,0.1624
508,BOOK OF MEME,BOME,0.0005336
509,Lista DAO,LISTA,0.1269
510,Audius,AUDIO,0.0264
511,Burnedfi,BURN,2.96
512,LAB,LAB,0.1592
513,Corn,CORN,0.06975
514,Orbler,ORBR,0.03605
515,Flux,FLUX,0.09112
601,QuarkChain,QKC,0.003832
602,Lorenzo Protocol,BANK,0.0524
603,SPDR S&P 500 Tokenized ETF (Ondo),SPYon,689.59
604,Electronic USD,eUSD,0.9982
605,HeyElsa,ELSA,0.1195
606,我踏马来了,我踏马来了,0.02727
607,aixbt,AIXBT,0.02721
608,Hyperlane,HYPER,0.1195
609,Wayfinder,PROMPT,0.06674
610,Renzo,REZ,0.004185
611,Mira,MIRA,0.1152
612,Everlyn AI,LYN,0.1053
613,Hippo Protocol,HP,0.02089
614,Adshares,ADS,0.6912
615,Orderly,ORDER,0.07308
701,TROLL (SOL),TROLL,0.02024
702,MAX Exchange Token,MAX,0.316
703,Nasdaq tokenized ETF (xStock),QQQX,622.12
704,USAT,USAT,0.9997
705,Owlto Finance,OWL,0.06049
706,YieldBasis,YB,0.227
707,Fusionist,ACE,0.2288
708,Destra Network,DSYNC,0.02039
709,SuperRare,RARE,0.02408
710,StakeStone,STO,0.08782
711,SynFutures,F,0.005979
712,Moonbeam,GLMR,0.01891
713,BOB (Build on Bitcoin),BOB,0.00887
714,JOE,JOE,0.04878
715,Solend,SLND,0.1968
801,Felysyum,FELY,0.359
802,OG Fan Token,OG,3.43
803,Radworks,RAD,0.2604
804,Towns,TOWNS,0.005662
805,ROGin AI,ROG,0.2294
806,elizaOS,ELIZAOS,0.002051
807,Puffer,PUFFER,0.04137
808,LimeWire,LMWR,0.0347
809,Starpower,STAR,0.08224
810,Recall,RECALL,0.06909
811,CONX,XPLA,0.01695
812,iShares Gold Trust Tokenized ETF (Ondo),IAUon,99.25
813,Araracoin,ARARA,0.0004167
814,Moss Coin,MOC,0.0342
815,Rifampicin,RIF,0.01506
901,Real Token,REAL,0.01864
902,AS Roma Fan Token,ASR,1.51
903,Impossible Finance Launchpad,IDIA,0.01808
904,Forta,FORT,0.01944
905,Ice Open Network,ICE,0.001849
906,Assemble AI,ASM,0.008145
907,Aura,AURA,0.01268
908,Treehouse,TREE,0.07826
909,Wojak,WOJAK,0.01216
910,RIZE,RIZE,0.007968
911,GYEN,GYEN,0.005781
912,Infrared,IR,0.05906
913,Splintershards,SPS,0.007696
914,TG Casino,TGC,0.1542
915,ZenChain,ZTC,0.002165
1001,Bella Protocol,BEL,0.1244
1002,THORWallet,TITN,0.2334
1003,Arena-Z,A2Z,0.001253
1004,Landwolf 0x67,WOLF,1.074e-05
1005,dForce,DF,0.009686
1006,CloakCoin,CLOAK,1.58
1007,BNB Attestation Service,BAS,0.003858
1008,SIX Token,SIX,0.01133
1009,NUMINE,NUMI,0.04944
1010,Juventus Fan Token,JUV,0.66
1011,MAGIC•INTERNET•MONEY (Bitcoin),MIM,0.0004534
1012,Manyu (manyushiba.com),MANYU,0.089489
1013,Devve,DEVVE,0.09801
1014,Solomon,SOLO,0.7279
1015,RSS3,RSS3,0.01042
1101,Oasys,OAS,0.001259
1102,Quantoz USDQ,USDQ,0.9985
1103,Fwog (SOL),FWOG,0.008139
1104,CREPE,CREPE,1.366e-05
1105,Soil,SOIL,0.1221
1106,MESSIER,M87,0.058889
1107,Houdini Swap,LOCK,0.08639
1108,Star Atlas DAO,POLIS,0.02343
1109,Ambire Wallet,WALLET,0.01115
1110,Portugal National Team Fan Token,POR,0.7701
1111,Green Satoshi Token (SOL),GST,0.001788
1112,xMoney,UTK,0.01082
1113,Major,MAJOR,0.09136
1114,Marina Protocol,BAY,0.03798
1115,Wexo,WEXO,0.02581
1201,0x0.ai,0x0,0.006983
1202,AC Milan Fan Token,ACM,0.4772
1203,ZERA,ZERA,0.006264
1204,Minutes Network Token,MNTX,0.07765
1205,The Official 67 Coin,67,0.006031
1206,DeBox,BOX,0.01306
1207,Cryptex Finance,CTX,0.7249
1208,1 coin can change your life,1,0.005942
1209,Cult DAO,CULT,0.051375
1210,Portal To Bitcoin,PTB,0.002137
1211,Izumi Finance,IZI,0.007496
1212,DACXI,DXI,0.0006489
1213,KAN,KAN,0.000601
1214,Metacade,MCADE,0.003599
1215,MileVerse,MVC,0.0021
1301,SHIBA INU,SHIB,0.087064
1302,Shido Network,SHIDO,0.0002486
1303,Minima,MINIMA,0.008576
1304,PsyopAnime,PSYOPANIME,0.004742
1305,Mr Miggles,MIGGLES,0.00495
1306,Fair and Free,FAIR3,0.005051
1307,Step Finance,STEP,0.02132
1308,Aventus,AVT,0.78
1309,noice,NOICE,8.429e-05
1310,trac (Ordinals),TRAC,0.2241
1311,BitForex Token,BF,0.001094
1312,Lingo,LINGO,0.009604
1313,Inter Milan Fan Token,INTER,0.4117
1314,DRX Token,DRX,0.007007
1315,nubcat,NUB,0.004896
1401,MANEKI,MANEKI,0.0004291
1402,Tea-Fi,TEA,0.07581
1403,Reservoir,DAM,0.01893
1404,Rarible,RARI,0.194
1405,Aurory,AURY,0.05025
1406,Zenrock,ROCK,0.0197
1407,Resistance Dog,REDO,0.03755
1408,ALTAVA,TAVA,0.005381
1409,Grok (grokoneth.meme),GROK,0.0005919
1410,Apple Tokenized Stock (Ondo),AAPLon,256.3
1411,LumiWave,LWA,0.004849
1412,Celo Euro,CEUR,1.18
1413,TCOM Global,TCOM,0.0406
1414,Saros,SAROS,0.001772
1415,UNCX Network,UNCX,79.78
1501,Oracle tokenized stock (xStock),ORCLX,161.21
1502,Step App,FITFI,0.0006942
1503,NetMind Token,NMT,0.09201
1504,EarthMeta,EMT,0.002138
1505,LeisureMeta,LM,0.000911
1506,Superp,SUP,0.01494
1507,Department Of Government Efficiency (dogegov.com),DOGE,0.003113
1508,Alitas,ALT,0.01087
1509,Momo (momocoin.info),MOMO,0.003049
1510,Nestree,EGG,0.001009
1511,Depinsim,ESIM,0.02247
1512,Jesus Coin,JESUS,0.071989
1513,Gochujangcoin,GOCHU,0.062688
1514,Nexa,NEXA,0.065122
1515,ZTX,ZTX,0.0004105
1601,Palantir tokenized stock (xStock),PLTRX,146.93
1602,AMD Tokenized Stock (Ondo),AMDon,244.23
1603,Cellframe,CELL,0.08664
1604,Phantasma,SOUL,0.01994
1605,METAVERSE,METAV,0.00247
1606,Reef,REEF,0.0001173
1607,Magpie,MGP,0.004339
1608,Validity,VAL,0.4815
1609,ASML Holding NV Tokenized Stock (Ondo),ASMLon,1420.93
1610,Billy (Bitcoin),BILLY,0.002451
1611,Vader,VADER,0.002458
1612,e-Radix,EXRD,0.002906
1613,OVR,OVR,0.04797
1614,Streamflow,STREAM,0.016
1615,Blum,Blum,0.01415
1701,ParaSwap,PSP,0.002755
1702,EstateX,ESX,0.002149
1703,Storm Trade,STORM,0.007853
1704,Clore.ai,CLORE,0.003165
1705,Polytrade,TRADE,0.04819
1706,"Blackrock, Inc. Tokenized Stock (Ondo)",BLKon,1124.56
1707,Midas The Minotaur,MIDAS,0.0002225
1708,donotfomoew,MOEW,0.000319
1709,GOMBLE,GM,0.007076
1710,Mistery On Cro,MERY,0.054801
1711,Napoli Fan Token,NAP,0.3711
1712,Phoenic,PNIC,0.00772
1713,Adobe Tokenized Stock (Ondo),ADBEon,287.69
1714,Cisco Systems Tokenized Stock (Ondo),CSCOon,78.54
1715,Trabzonspor Fan Token,TRA,0.252
1801,Verse,VERSE,3.564e-05
1802,Costco Tokenized Stock (Ondo),COSTon,958.65
1803,Aerobud,AEROBUD,0.001663
1804,Crypterium,CRPT,0.01692
1805,GensoKishi Metaverse,MV,0.0042
1806,michi (SOL),$MICHI,0.002874
1807,Coinbase Tokenized Stock (Ondo),COINon,195.76
1808,Somnium Space Cubes,CUBE,0.1256
1809,just buy $1 worth of this coin,$1,0.001567
1810,Kima Network,KIMA,0.02369
1811,Carnomaly,CARR,0.0008908
1812,Mother Iggy,MOTHER,0.001573
1813,xAI tokenized stock (PreStocks),XAI,123.23
1814,ICHI,ICHI,0.1644
1815,HELLO Labs,HELLO,0.002108
1901,MCN,MCN,0.1088
1902,LETSTOP,STOP,0.01905
1903,StarSlax,SSLX,0.0005209
1904,Autonomys Network,AI3,0.015
1905,KIRA,KEX,0.006331
1906,Nike Tokenized Stock (Ondo),NKEon,62.44
1907,Alon,ALON,0.001297
1908,Ucan fix life in1day,1,0.001284
1909,Sensay,SNSY,0.0002466
1910,Griffin AI,GAIN,0.002883
1911,Push Protocol,PUSH,0.01416
1912,Cocoro (officialcocoro.com),COCORO,0.001604
1913,Fusion,FSN,0.01629
1914,JMPT Rewards,JMPT,0.6725
1915,San Chan,SAN,0.001348
2001,Decubate,DCB,0.002717
2002,VICE Token,VICE,0.001033
2003,LinqAI,LNQ,0.003547
2004,GAL (migrated to Gravity - G),GAL,0.3833
2005,MAGA (maga-hat.vip),MAGA,0.052637
2006,EQTY,EQTY,0.003513
2007,COCORO,COCORO,0.052426
2008,GOUT,GOUT,0.059145
2009,YooShi,YOOSHI,0.082795
2010,Palantir Technologies Tokenized Stock (Ondo),PLTRon,150.04
2011,S&P Global Tokenized Stock (Ondo),SPGIon,524.09
2012,HeroesTD,HTD,0.002196
2013,NuriTopia,NBLU,0.0004054
2014,Flamengo Fan Token,MENGO,0.06444
2015,HahaYes,RIZO,0.052342
2101,Hemule,HEMULE,0.0008358
2102,Shardeum,SHM,0.0001029
2103,Robinhood Markets Tokenized Stock (Ondo),HOODon,100.25
2104,Boba Cat,BOBA,0.001334
2105,Mode,MODE,0.000327
2106,SmartCash,SMART,0.0005779
2107,Fenerbahçe Token,FB,0.3734
2108,Merck tokenized stock (xStock),MRKX,108.54
2109,END,END,0.006725
2110,Fireverse,FIR,0.005942
2111,BIG,BIG,0.000811
2112,Pepes Dog,ZEUS,0.081916
2113,LIKE,LIKE,0.002432
2114,GameGPT,DUEL,9.6e-05
2115,Lnfi Network,LN,0.008219
2201,GAIMIN,GMRX,1.358e-05
2202,Cat Own Kimono,COK,0.066811
2203,Gelato,GEL,0.0025
2204,LandWolf (SOL),WOLF,6.79e-05
2205,Etherisc DIP Token,DIP,0.002828
2206,First Convicted Raccon Fred,FRED,0.0006768
2207,DeFi,DEFI,0.0003876
2208,Riser,RIS,0.002705
2209,Tevaera,TEVA,0.001376
2210,Rubic,RBC,0.00408
2211,Fric,FRIC,0.000674
2212,ScPrime,SCP,0.01401
2213,Element,ELMT,0.0003881
2214,Multibit,MUBI,0.0007076
2215,Salesforce tokenized stock (xStock),CRMX,216.71
2301,Zero,ZER,0.03775
2302,Muhdo Hub,DNA,0.0003288
2303,Didi Bam Bam,DDBAM,0.02626
2304,Monavale,MONA,52.68
2305,Q Protocol,QGOV,0.001937
2306,Gorilla,GORILLA,0.0005473
2307,Rage Guy,RAGE,0.0005523
2308,The Black Whale (blackwhale.fun),BLACKWHALE,0.0005526
2309,spinning cat,OIIAOIIA,0.0005402
2310,Philip Morris tokenized stock (xStock),PMX,179.77
2311,Kromatika,KROM,0.006715
2312,REVOX,REX,0.0001973
2313,Bridge AI,BRG,6.713e-05
2314,Reality Metaverse,RMV,0.002146
2315,BullDogito,BDOGITO,0.001682
2401,Brainlet,BRAINLET,0.0004519
2402,Saakuru Protocol,SKR,0.0005096
2403,ARC,ARC,0.0004608
2404,Honeyland,HXD,0.001054
2405,CYBRO,CYBRO,0.003186
2406,nomnom,NOMNOM,0.0004347
2407,DappRadar,RADAR,0.0004362
2408,MintMe.com Coin,MINTME,0.0007688
2409,Red Kite,PKF,0.003646
2410,VinuChain,VC,0.0007406
2411,Dasha,VVAIFU,0.0004207
2412,Long,LONG,0.065331
2413,BendDAO,BEND,0.0001049
2414,Everyworld,EVERY,0.0001636
2415,Pell Network,PELL,0.000499
2501,XCAD Network,XCAD,0.001983
2502,Kasta,KASTA,0.0004516
2503,Nubila Network,NB,0.001883
2504,Finceptor,FINC,0.005762
2505,Eliza (elizawakesup),ELIZA,0.000344
2506,Bubb,BUBB,0.0003437
2507,Nutcoin,NUT,0.07171
2508,HAVAH,HVH,0.0001515
2509,Coral Finance,CORL,0.001471
2510,Sentio AI,SEN,0.003485
2511,Script Network,SCPT,0.0004998
2512,Agent Virtual Machine,AVM,0.006415
2513,TenUp,TUP,0.003224
2514,Torum,XTM,0.001749
2515,Roost Coin,ROOST,0.0003602
2601,ORBIT,GRIFT,0.0002853
2602,Figma Ord Shs Tokenized Stock (Ondo),FIGon,26.98
2603,JulSwap,JULD,0.0004792
2604,DeFrogs,DEFROGS,28.32
2605,Ithaca Protocol,ITHACA,0.003544
2606,TheStandard USD,USDS,1.0
2607,Bware,INFRA,0.06823
2608,FU Coin,FU,0.051447
2609,Pepoclown,HONK,0.096782
2610,HarryPotterObamaPacMan8Inu,XRP,0.00344
2611,Blockchain Brawlers,BRWL,0.0002795
2612,OctonetAI,OCTO,0.002836
2613,MAHA.xyz,MAHA,0.06356
2614,PoSciDonDAO,SCI,0.07819
2615,Seascape Crowns,CWS,0.03647
2701,Belong,LONG,0.003272
2702,Vertex Protocol,VRTX,0.0004394
2703,Alpha,ALPHA,0.0002315
2704,DOGGY,DOGGY,0.0001027
2705,Hasbulla's Cat,BARSIK,0.0002306
2706,Klink Finance,KLINK,0.0009952
2707,Wombat Web 3 Gaming Platform,WOMBAT,4.526e-05
2708,TradeTide,TTD,0.001672
2709,Zap,ZAP,0.000973
2710,Bloktopia,BLOK,0.059261
2711,Fly.trade,FLY,0.01702
2712,Andy BSC,ANDY,0.082292
2713,FREEdom Coin,FREE,0.072298
2714,BBS Network,BBS,0.003249
2715,SparkPoint,SRK,1.732e-05
2801,Renewable Energy Token,RET,0.0119089
2802,Mithril,MITH,0.0001828
2803,Ariva,ARV,0.052517
2804,Puffverse,PFVS,0.001563
2805,BNB MEME SZN,SZN,0.0001816
2806,CRYPTO20,C20,0.004482
2807,BIAO,BIAO,0.0001803
2808,X-CASH,XCASH,0.052862
2809,LiveArt,ART,0.0004989
2810,X World Games,XWG,5.246e-05
2811,NFT Worlds,WRLD,0.0002516
2812,Ertha,ERTHA,8.929e-05
2813,Super Trump Coin,STRUMP,9.709e-05
2814,OrbitAI,ORBIT,0.01871
2815,Azbit,AZ,0.052526
2901,littlemanyu,MANYU,0.0001411
2902,Vestate,VES,0.0009777
2903,Chirpley,CHRP,0.0003374
2904,Wall Street Games (old),WSG,0.091527
2905,ROND,ROND,0.0003142
2906,BNB LION,BNBLION,0.011145
2907,Lou,LOU,0.0001387
2908,CyberVein,CVT,0.0001305
2909,Nova Fox,NFX,0.01489
2910,PowerPool,CVP,0.003037
2911,Sugar Daddy Season,SUGAR,0.0001366
2912,Unfettered Ecosystem,SOULS,0.0001193
2913,MOMOFUN,MM,1.75e-05
2914,The First Youtube Cat,PAJAMAS,0.0001389
2915,Scotty Beam,SCOTTY,0.0002946
3001,ROD.AI,RODAI,0.081911
3002,CropBytes,CBX,0.0005596
3003,Mars,MARS,0.0001035
3004,Launch Coin on Believe,LAUNCHCOIN,0.0001029
3005,dog with apple in mouth,APPLE,0.0001018
3006,BurgerCities,BURGER,0.002366
3007,B.O.B the Blob,BLOB,0.0001051
3008,Cheems,CHEEMS,0.092393
3009,Pullix,PLX,0.001209
3010,Altcoin,ALT,0.0001118
3011,TORSY,torsy,0.0001435
3012,Vertiv Tokenized Stock (Ondo),VRTon,191.06
3013,henlo,HENLO,0.095007
3014,Aimonica Brands,AIMONICA,9.94e-05
3015,Wicrypt,WNT,0.003792
3101,Opium,OPIUM,0.01849
3102,Tensora,TORA,7.687e-05
3103,Aster Inu,ASTERINU,7.755e-05
3104,DinoSwap,DINO,0.0004924
3105,Real Sociedad Fan Token,RSO,0.05877
3106,Game7,G7,3.321e-05
3107,Decentral Games ICE,ICE,0.0003368
3108,retardcoin,RETARD,7.609e-05
3109,Global DePIN Chain,DEEPSEEK,9.618e-05
3110,SpaceFalcon,FCON,0.054348
3111,Striker League,MBS,0.000121
3112,Cyclone Protocol,CYC,2.88
3113,Mist,MIST,0.00134
3114,Mint Club V1,MINT,0.061817
3115,OneFinity,ONE,0.01716
3201,Baby Trump (BSC),BABYTRUMP,0.0001284
3202,Startup,STARTUP,5.7e-05
3203,Lunos,UNO,0.0005057
3204,Ducky,DUCKY,0.061361
3205,Baby Bonk,BABYBONK,0.0122255
3206,Orion Money,ORION,0.0005841
3207,Darwin,DARWIN,0.0001383
3208,ZoRobotics,ZORO,0.004448
3209,LandRocker,LRT,1.342e-05
3210,KILT Protocol [New],KILT,0.0002823
3211,DOGEFATHER,DOGEFATHER,5.412e-05
3212,Fuku-Kun,FUKU,0.06168
3213,The Coop Network,GMD,0.0002538
3214,8PAY,8PAY,0.0008981
3215,GameCredits,GAME,0.0002771
3301,Philosoraptor,RAPTOR,3.742e-05
3302,KingdomStarter,KDG,6.829e-05
3303,WOWswap,WOW,0.03588
3304,Unstable Tether,USDUT,3.532e-05
3305,Decentral Games,DG,0.000188
